Phase,Magnitude,,
-0.5,13.755052,,
-0.498999,13.753541,,
-0.497998,13.790374,,
-0.496997,13.76475,,
-0.495996,13.806914,,
-0.494995,13.772215,,
-0.493994,13.765464,,
-0.492993,13.759156,,
-0.491992,13.774499,,
-0.490991,13.785529,,
-0.48999,13.794696,,
-0.488989,13.771495,,
-0.487988,13.77572,,
-0.486987,13.738301,,
-0.485986,13.779698,,
-0.484985,13.768258,,
-0.483984,13.771855,,
-0.482983,13.760909,,
-0.481982,13.785626,,
-0.480981,13.748505,,
-0.47998,13.738339,,
-0.478979,13.738673,,
-0.477978,13.749537,,
-0.476977,13.753732,,
-0.475976,13.749979,,
-0.474975,13.757171,,
-0.473974,13.749715,,
-0.472973,13.760641,,
-0.471972,13.763972,,
-0.470971,13.785921,,
-0.46997,13.725639,,
-0.468969,13.714642,,
-0.467968,13.750901,,
-0.466967,13.791879,,
-0.465966,13.766516,,
-0.464965,13.75723,,
-0.463964,13.754494,,
-0.462963,13.745975,,
-0.461962,13.738204,,
-0.460961,13.780246,,
-0.45996,13.731442,,
-0.458959,13.733646,,
-0.457958,13.746938,,
-0.456957,13.775507,,
-0.455956,13.72075,,
-0.454955,13.768547,,
-0.453954,13.756945,,
-0.452953,13.763793,,
-0.451952,13.750999,,
-0.450951,13.765431,,
-0.44995,13.77282,,
-0.448949,13.76184,,
-0.447948,13.733298,,
-0.446947,13.750609,,
-0.445946,13.743756,,
-0.444945,13.7394,,
-0.443944,13.747866,,
-0.442943,13.717887,,
-0.441942,13.745779,,
-0.440941,13.744567,,
-0.43994,13.738207,,
-0.438939,13.723819,,
-0.437938,13.741433,,
-0.436937,13.727013,,
-0.435936,13.728909,,
-0.434935,13.727668,,
-0.433934,13.709857,,
-0.432933,13.729109,,
-0.431932,13.726224,,
-0.430931,13.730379,,
-0.42993,13.722182,,
-0.428929,13.701126,,
-0.427928,13.699184,,
-0.426927,13.678544,,
-0.425926,13.711512,,
-0.424925,13.688759,,
-0.423924,13.691106,,
-0.422923,13.722291,,
-0.421922,13.6833,,
-0.420921,13.64888,,
-0.41992,13.683402,,
-0.418919,13.718691,,
-0.417918,13.676141,,
-0.416917,13.716328,,
-0.415916,13.699203,,
-0.414915,13.68038,,
-0.413914,13.708793,,
-0.412913,13.672785,,
-0.411912,13.682084,,
-0.410911,13.668036,,
-0.40991,13.667091,,
-0.408909,13.648559,,
-0.407908,13.654873,,
-0.406907,13.67059,,
-0.405906,13.65518,,
-0.404905,13.677123,,
-0.403904,13.648685,,
-0.402903,13.647557,,
-0.401902,13.687502,,
-0.400901,13.668698,,
-0.3999,13.652058,,
-0.398899,13.632456,,
-0.397898,13.636469,,
-0.396897,13.646229,,
-0.395896,13.657851,,
-0.394895,13.647874,,
-0.393894,13.647286,,
-0.392893,13.630305,,
-0.391892,13.629868,,
-0.390891,13.594411,,
-0.38989,13.618813,,
-0.388889,13.654056,,
-0.387888,13.633698,,
-0.386887,13.593249,,
-0.385886,13.633448,,
-0.384885,13.642981,,
-0.383884,13.637286,,
-0.382883,13.648866,,
-0.381882,13.620361,,
-0.380881,13.616604,,
-0.37988,13.640793,,
-0.378879,13.618489,,
-0.377878,13.610678,,
-0.376877,13.62774,,
-0.375876,13.644373,,
-0.374875,13.601192,,
-0.373874,13.611737,,
-0.372873,13.638218,,
-0.371872,13.625045,,
-0.370871,13.615099,,
-0.36987,13.601984,,
-0.368869,13.626666,,
-0.367868,13.620521,,
-0.366867,13.588888,,
-0.365866,13.606092,,
-0.364865,13.612709,,
-0.363864,13.605036,,
-0.362863,13.615349,,
-0.361862,13.612668,,
-0.360861,13.610314,,
-0.35986,13.595363,,
-0.358859,13.609467,,
-0.357858,13.600399,,
-0.356857,13.580792,,
-0.355856,13.596018,,
-0.354855,13.614849,,
-0.353854,13.579743,,
-0.352853,13.585393,,
-0.351852,13.562848,,
-0.350851,13.576649,,
-0.34985,13.603353,,
-0.348849,13.574367,,
-0.347848,13.613645,,
-0.346847,13.577703,,
-0.345846,13.611871,,
-0.344845,13.59055,,
-0.343844,13.600367,,
-0.342843,13.615009,,
-0.341842,13.60974,,
-0.340841,13.598154,,
-0.33984,13.584037,,
-0.338839,13.625504,,
-0.337838,13.577303,,
-0.336837,13.594431,,
-0.335836,13.57746,,
-0.334835,13.590933,,
-0.333834,13.579784,,
-0.332833,13.575622,,
-0.331832,13.558524,,
-0.330831,13.575827,,
-0.32983,13.590735,,
-0.328829,13.576158,,
-0.327828,13.553498,,
-0.326827,13.561051,,
-0.325826,13.597468,,
-0.324825,13.568127,,
-0.323824,13.576814,,
-0.322823,13.553409,,
-0.321822,13.58794,,
-0.320821,13.562287,,
-0.31982,13.574211,,
-0.318819,13.577097,,
-0.317818,13.601276,,
-0.316817,13.552256,,
-0.315816,13.576381,,
-0.314815,13.580672,,
-0.313814,13.554675,,
-0.312813,13.576123,,
-0.311812,13.578667,,
-0.310811,13.568835,,
-0.30981,13.547356,,
-0.308809,13.573475,,
-0.307808,13.578752,,
-0.306807,13.579553,,
-0.305806,13.553533,,
-0.304805,13.607889,,
-0.303804,13.575482,,
-0.302803,13.66683,,
-0.301802,13.599821,,
-0.300801,13.548193,,
-0.2998,13.593179,,
-0.298799,13.571451,,
-0.297798,13.573741,,
-0.296797,13.547621,,
-0.295796,13.554532,,
-0.294795,13.554733,,
-0.293794,13.554366,,
-0.292793,13.553034,,
-0.291792,13.59112,,
-0.290791,13.588915,,
-0.28979,13.565947,,
-0.288789,13.566109,,
-0.287788,13.634363,,
-0.286787,13.568756,,
-0.285786,13.572823,,
-0.284785,13.56131,,
-0.283784,13.522883,,
-0.282783,13.563372,,
-0.281782,13.567219,,
-0.280781,13.547858,,
-0.27978,13.559317,,
-0.278779,13.561568,,
-0.277778,13.567113,,
-0.276777,13.612416,,
-0.275776,13.552806,,
-0.274775,13.557098,,
-0.273774,13.517296,,
-0.272773,13.562493,,
-0.271772,13.551615,,
-0.270771,13.597424,,
-0.26977,13.562403,,
-0.268769,13.574383,,
-0.267768,13.553297,,
-0.266767,13.508477,,
-0.265766,13.553223,,
-0.264765,13.578414,,
-0.263764,13.550196,,
-0.262763,13.550237,,
-0.261762,13.563627,,
-0.260761,13.616506,,
-0.25976,13.573415,,
-0.258759,13.574702,,
-0.257758,13.570063,,
-0.256757,13.564754,,
-0.255756,13.569059,,
-0.254755,13.54462,,
-0.253754,13.570058,,
-0.252753,13.607708,,
-0.251752,13.582869,,
-0.250751,13.585854,,
-0.24975,13.563283,,
-0.248749,13.571715,,
-0.247748,13.548302,,
-0.246747,13.559929,,
-0.245746,13.561975,,
-0.244745,13.569112,,
-0.243744,13.570509,,
-0.242743,13.561326,,
-0.241742,13.548039,,
-0.240741,13.576069,,
-0.23974,13.619366,,
-0.238739,13.581471,,
-0.237738,13.565124,,
-0.236737,13.55891,,
-0.235736,13.566329,,
-0.234735,13.57786,,
-0.233734,13.580581,,
-0.232733,13.599392,,
-0.231732,13.500791,,
-0.230731,13.601959,,
-0.22973,13.584853,,
-0.228729,13.580306,,
-0.227728,13.574224,,
-0.226727,13.598097,,
-0.225726,13.576218,,
-0.224725,13.600769,,
-0.223724,13.583409,,
-0.222723,13.576445,,
-0.221722,13.606487,,
-0.220721,13.568496,,
-0.21972,13.593629,,
-0.218719,13.598362,,
-0.217718,13.591126,,
-0.216717,13.592264,,
-0.215716,13.56143,,
-0.214715,13.562952,,
-0.213714,13.578299,,
-0.212713,13.604174,,
-0.211712,13.634115,,
-0.210711,13.734712,,
-0.20971,13.579364,,
-0.208709,13.573811,,
-0.207708,13.584219,,
-0.206707,13.578877,,
-0.205706,13.605583,,
-0.204705,13.631096,,
-0.203704,13.591081,,
-0.202703,13.603667,,
-0.201702,13.579264,,
-0.200701,13.627728,,
-0.1997,13.664031,,
-0.198699,13.636154,,
-0.197698,13.599047,,
-0.196697,13.608467,,
-0.195696,13.606991,,
-0.194695,13.624357,,
-0.193694,13.649505,,
-0.192693,13.59194,,
-0.191692,13.623423,,
-0.190691,13.607225,,
-0.18969,13.609667,,
-0.188689,13.618362,,
-0.187688,13.622146,,
-0.186687,13.616134,,
-0.185686,13.553628,,
-0.184685,13.616469,,
-0.183684,13.632488,,
-0.182683,13.768794,,
-0.181682,13.622369,,
-0.180681,13.629523,,
-0.17968,13.617632,,
-0.178679,13.60063,,
-0.177678,13.638038,,
-0.176677,13.639961,,
-0.175676,13.64063,,
-0.174675,13.613636,,
-0.173674,13.611958,,
-0.172673,13.641986,,
-0.171672,13.622685,,
-0.170671,13.605783,,
-0.16967,13.671964,,
-0.168669,13.653203,,
-0.167668,13.580577,,
-0.166667,13.670707,,
-0.165666,13.699327,,
-0.164665,13.644618,,
-0.163664,13.656953,,
-0.162663,13.646658,,
-0.161662,13.62828,,
-0.160661,13.646026,,
-0.15966,13.671211,,
-0.158659,13.698261,,
-0.157658,13.646702,,
-0.156657,13.65839,,
-0.155656,13.683068,,
-0.154655,13.65307,,
-0.153654,13.660265,,
-0.152653,13.68161,,
-0.151652,13.679711,,
-0.150651,13.676954,,
-0.14965,13.649082,,
-0.148649,13.65267,,
-0.147648,13.69928,,
-0.146647,13.678962,,
-0.145646,13.675155,,
-0.144645,13.688528,,
-0.143644,13.702794,,
-0.142643,13.640767,,
-0.141642,13.67785,,
-0.140641,13.71365,,
-0.13964,13.673176,,
-0.138639,13.707449,,
-0.137638,13.702544,,
-0.136637,13.692605,,
-0.135636,13.697067,,
-0.134635,13.700722,,
-0.133634,13.743093,,
-0.132633,13.679835,,
-0.131632,13.73894,,
-0.130631,13.725921,,
-0.12963,13.710777,,
-0.128629,13.710544,,
-0.127628,13.735743,,
-0.126627,13.723636,,
-0.125626,13.733108,,
-0.124625,13.738373,,
-0.123624,13.726866,,
-0.122623,13.736929,,
-0.121622,13.759572,,
-0.120621,13.750326,,
-0.11962,13.69847,,
-0.118619,13.684861,,
-0.117618,13.742766,,
-0.116617,13.744107,,
-0.115616,13.767937,,
-0.114615,13.748179,,
-0.113614,13.779978,,
-0.112613,13.747855,,
-0.111612,13.753636,,
-0.110611,13.78876,,
-0.10961,13.797654,,
-0.108609,13.768229,,
-0.107608,13.752973,,
-0.106607,13.7873,,
-0.105606,13.779511,,
-0.104605,13.836322,,
-0.103604,13.823826,,
-0.102603,13.816761,,
-0.101602,13.824552,,
-0.100601,13.801969,,
-0.0996,13.834416,,
-0.098599,13.808681,,
-0.097598,13.785278,,
-0.096597,13.79196,,
-0.095596,13.816113,,
-0.094595,13.793414,,
-0.093594,13.826345,,
-0.092593,13.802185,,
-0.091592,13.82128,,
-0.090591,13.853927,,
-0.08959,13.853856,,
-0.088589,13.832969,,
-0.087588,13.877848,,
-0.086587,13.860604,,
-0.085586,13.833899,,
-0.084585,13.854897,,
-0.083584,13.854932,,
-0.082583,13.873568,,
-0.081582,13.85453,,
-0.080581,13.839811,,
-0.07958,13.87745,,
-0.078579,13.906194,,
-0.077578,13.865782,,
-0.076577,13.875847,,
-0.075576,13.886925,,
-0.074575,13.869934,,
-0.073574,13.874182,,
-0.072573,13.905016,,
-0.071572,13.909793,,
-0.070571,13.939698,,
-0.06957,13.913006,,
-0.068569,13.908618,,
-0.067568,13.956715,,
-0.066567,13.924738,,
-0.065566,13.896011,,
-0.064565,13.880271,,
-0.063564,13.921994,,
-0.062563,13.942675,,
-0.061562,13.955103,,
-0.060561,13.951149,,
-0.05956,13.983298,,
-0.058559,13.942694,,
-0.057558,13.96135,,
-0.056557,13.914721,,
-0.055556,14.036463,,
-0.054555,13.927219,,
-0.053554,13.998873,,
-0.052553,14.006907,,
-0.051552,14.010977,,
-0.050551,13.973821,,
