Phase,Magnitude
-1,13.998287
-0.979798,13.99988
-0.959596,13.935791
-0.939394,13.843419
-0.919192,13.765405
-0.89899,13.710593
-0.878788,13.680818
-0.858586,13.650657
-0.838384,13.62153
-0.818182,13.596809
-0.79798,13.578062
-0.777778,13.565896
-0.757576,13.561412
-0.737374,13.563513
-0.717172,13.572232
-0.69697,13.586523
-0.676768,13.604631
-0.656566,13.624043
-0.636364,13.642459
-0.616162,13.660376
-0.59596,13.68717
-0.575758,13.717668
-0.555556,13.744495
-0.535354,13.75878
-0.515152,13.761649
-0.494949,13.7609
-0.474747,13.756191
-0.454545,13.737589
-0.434343,13.709489
-0.414141,13.680984
-0.393939,13.658958
-0.373737,13.642213
-0.353535,13.623865
-0.333333,13.605146
-0.313131,13.588846
-0.292929,13.577205
-0.272727,13.570834
-0.252525,13.571697
-0.232323,13.579626
-0.212121,13.594114
-0.191919,13.615257
-0.171717,13.641868
-0.151515,13.671129
-0.131313,13.700109
-0.111111,13.736599
-0.090909,13.801141
-0.070707,13.884115
-0.050505,13.978426
-0.030303,14.002876
-0.010101,13.998291
0.010101,14.000435
0.030303,13.981174
0.050505,13.889146
0.070707,13.802433
0.090909,13.73484
0.111111,13.695574
0.131313,13.665845
0.151515,13.635916
0.171717,13.608524
0.191919,13.586613
0.212121,13.571415
0.232323,13.562767
0.252525,13.561456
0.272727,13.567465
0.292929,13.578878
0.313131,13.595233
0.333333,13.614379
0.353535,13.633423
0.373737,13.651153
0.393939,13.673071
0.414141,13.702524
0.434343,13.731941
0.454545,13.755029
0.474747,13.760708
0.494949,13.761738
0.515152,13.759115
0.535354,13.748851
0.555556,13.724199
0.575758,13.694596
0.59596,13.66821
0.616162,13.650772
0.636364,13.633243
0.656566,13.614408
0.676768,13.596474
0.69697,13.582122
0.717172,13.573216
0.737374,13.570563
0.757576,13.574464
0.777778,13.586014
0.79798,13.603946
0.818182,13.627888
0.838384,13.656291
0.858586,13.685769
0.878788,13.714266
0.89899,13.765904
0.919192,13.842236
0.939394,13.931619
0.959596,14.002105
0.979798,13.999549
1,13.998287
