Phase,Magnitude
-1,14.316639
-0.979798,14.28539
-0.959596,14.211943
-0.939394,14.128188
-0.919192,14.047596
-0.89899,13.98574
-0.878788,13.937273
-0.858586,13.903552
-0.838384,13.876254
-0.818182,13.851478
-0.79798,13.830994
-0.777778,13.81637
-0.757576,13.807925
-0.737374,13.805756
-0.717172,13.809659
-0.69697,13.819293
-0.676768,13.833302
-0.656566,13.850237
-0.636364,13.868007
-0.616162,13.88951
-0.59596,13.914485
-0.575758,13.94278
-0.555556,13.970097
-0.535354,13.993788
-0.515152,14.010324
-0.494949,14.015525
-0.474747,14.007327
-0.454545,13.990006
-0.434343,13.965862
-0.414141,13.940153
-0.393939,13.91552
-0.373737,13.893359
-0.353535,13.876132
-0.333333,13.860242
-0.313131,13.84565
-0.292929,13.834113
-0.272727,13.827714
-0.252525,13.826936
-0.232323,13.832146
-0.212121,13.843301
-0.191919,13.860485
-0.171717,13.882164
-0.151515,13.907217
-0.131313,13.935788
-0.111111,13.970253
-0.090909,14.025116
-0.070707,14.09837
-0.050505,14.176418
-0.030303,14.254825
-0.010101,14.30831
0.010101,14.30653
0.030303,14.249993
0.050505,14.168818
0.070707,14.087899
0.090909,14.013039
0.111111,13.956526
0.131313,13.919449
0.151515,13.889603
0.171717,13.86329
0.191919,13.840691
0.212121,13.822891
0.232323,13.811379
0.252525,13.806062
0.272727,13.806974
0.292929,13.813759
0.313131,13.825949
0.333333,13.841509
0.353535,13.858719
0.373737,13.87759
0.393939,13.901701
0.414141,13.928568
0.434343,13.956653
0.454545,13.983158
0.474747,14.002915
0.494949,14.014514
0.515152,14.012991
0.535354,13.999407
0.555556,13.97815
0.575758,13.953172
0.59596,13.927321
0.616162,13.904322
0.636364,13.884632
0.656566,13.868359
0.676768,13.852559
0.69697,13.839358
0.717172,13.830239
0.737374,13.826594
0.757576,13.828776
0.777778,13.836991
0.79798,13.851129
0.818182,13.870853
0.838384,13.894545
0.858586,13.920391
0.878788,13.952391
0.89899,13.998872
0.919192,14.058598
0.939394,14.136887
0.959596,14.218103
0.979798,14.288425
1,14.316639
